task_id,site_id,phase,task_name,owner_dept,due_date,status,priority
T0001,DXP1,Site Planning,Finalize site layout,Operations,2026-04-26,Delayed,High
T0002,DXP1,Site Planning,Confirm lease/permits,Operations,2026-05-01,At Risk,Low
T0003,DXP1,Site Planning,Approve headcount plan,Operations,2026-04-29,On Track,High
T0004,DXP1,Site Planning,Publish launch schedule,Operations,2026-04-30,Complete,High
T0005,DXP1,Facilities Readiness,Complete build-out,Facilities,2026-05-08,Complete,High
T0006,DXP1,Facilities Readiness,Install racking/conveyor,Facilities,2026-05-08,At Risk,Low
T0007,DXP1,Facilities Readiness,Fire inspection sign-off,Facilities,2026-05-09,On Track,High
T0008,DXP1,Facilities Readiness,Dock leveler install,Facilities,2026-05-09,At Risk,Medium
T0009,DXP1,Technology Readiness,Network/WiFi install,Technology,2026-05-25,Blocked,High
T0010,DXP1,Technology Readiness,Scanner provisioning,Technology,2026-05-25,At Risk,High
T0011,DXP1,Technology Readiness,WMS go-live config,Technology,2026-05-24,Complete,Low
T0012,DXP1,Technology Readiness,Badge access system live,Technology,2026-05-21,Complete,High
T0013,DXP1,Hiring Readiness,Post job requisitions,HR,2026-06-02,Complete,High
T0014,DXP1,Hiring Readiness,Complete hiring events,HR,2026-06-01,On Track,Low
T0015,DXP1,Hiring Readiness,Background checks cleared,HR,2026-06-01,Complete,Low
T0016,DXP1,Hiring Readiness,Offer acceptance target met,HR,2026-06-03,Complete,High
T0017,DXP1,Training Readiness,Trainer certification,Training,2026-06-15,Complete,Low
T0018,DXP1,Training Readiness,New hire orientation scheduled,Training,2026-06-16,Complete,High
T0019,DXP1,Training Readiness,SOP training completed,Training,2026-06-17,Complete,Low
T0020,DXP1,Training Readiness,Safety training completed,Training,2026-06-15,On Track,Medium
T0021,DXP1,Safety Validation,Safety audit passed,Safety,2026-06-28,Complete,High
T0022,DXP1,Safety Validation,PPE stock confirmed,Safety,2026-06-29,On Track,Medium
T0023,DXP1,Safety Validation,Emergency evacuation plan posted,Safety,2026-06-30,On Track,High
T0024,DXP1,Safety Validation,Incident escalation tested,Safety,2026-06-27,Complete,High
T0025,DXP1,Operational Testing,Scanner load test,Operations,2026-07-10,Complete,Medium
T0026,DXP1,Operational Testing,Route staging dry run,Operations,2026-07-08,Complete,Medium
T0027,DXP1,Operational Testing,Dock throughput test,Operations,2026-07-12,Delayed,Low
T0028,DXP1,Operational Testing,Peak volume simulation,Operations,2026-07-09,Blocked,Low
T0029,DXP1,Day 1 Launch,Leadership sign-off obtained,Operations,2026-07-24,Complete,Medium
T0030,DXP1,Day 1 Launch,Day 1 staffing confirmed,Operations,2026-07-24,Complete,Low
T0031,DXP1,Day 1 Launch,Go/No-Go review completed,Operations,2026-07-22,On Track,Low
T0032,DXP1,Day 1 Launch,Launch war room staffed,Operations,2026-07-20,Complete,Medium
T0033,DXP1,Post-Launch Stabilization,Daily stand-ups (Week 1),Operations,2026-08-01,Not Started,High
T0034,DXP1,Post-Launch Stabilization,Defect/issue log review,Operations,2026-07-31,Not Started,High
T0035,DXP1,Post-Launch Stabilization,30-day performance review,Operations,2026-08-05,Not Started,Low
T0036,DXP1,Post-Launch Stabilization,Lessons learned session,Operations,2026-08-04,Not Started,Medium
T0037,DXP2,Site Planning,Finalize site layout,Operations,2026-05-16,On Track,High
T0038,DXP2,Site Planning,Confirm lease/permits,Operations,2026-05-16,Complete,Medium
T0039,DXP2,Site Planning,Approve headcount plan,Operations,2026-05-14,Delayed,Medium
T0040,DXP2,Site Planning,Publish launch schedule,Operations,2026-05-11,Complete,Medium
T0041,DXP2,Facilities Readiness,Complete build-out,Facilities,2026-05-27,Complete,Medium
T0042,DXP2,Facilities Readiness,Install racking/conveyor,Facilities,2026-05-26,On Track,High
T0043,DXP2,Facilities Readiness,Fire inspection sign-off,Facilities,2026-05-23,On Track,Medium
T0044,DXP2,Facilities Readiness,Dock leveler install,Facilities,2026-05-23,Complete,Low
T0045,DXP2,Technology Readiness,Network/WiFi install,Technology,2026-06-04,At Risk,High
T0046,DXP2,Technology Readiness,Scanner provisioning,Technology,2026-06-05,Delayed,Low
